,station,date_only,error_type
163,londonrdenc,2015/09/28,some_slots
164,windsorbridge,2015/09/28,some_slots
165,guildhall,2015/09/30,some_slots
166,guildhall,2015/10/16,some_slots
167,londonrdaurn,2015/10/16,some_slots
168,londonrdenc,2015/10/16,some_slots
169,windsorbridge,2015/10/16,some_slots
170,guildhall,2015/10/17,some_slots
171,londonrdaurn,2015/10/17,some_slots
172,londonrdenc,2015/10/17,some_slots
173,windsorbridge,2015/10/17,some_slots
174,guildhall,2015/10/20,some_slots
175,londonrdaurn,2015/10/20,some_slots
176,londonrdenc,2015/10/20,some_slots
177,windsorbridge,2015/10/20,some_slots
178,all,2015/10/21,all_day
179,all,2015/10/22,all_day
180,all,2015/10/23,all_day
181,guildhall,2015/10/24,some_slots
182,londonrdaurn,2015/10/24,some_slots
183,londonrdenc,2015/10/24,some_slots
184,windsorbridge,2015/10/24,some_slots
185,guildhall,2015/10/31,some_slots
186,londonrdaurn,2015/10/31,some_slots
187,londonrdenc,2015/10/31,some_slots
188,guildhall,2015/12/02,some_slots
189,londonrdaurn,2015/12/02,some_slots
190,londonrdenc,2015/12/02,some_slots
191,windsorbridge,2015/12/02,some_slots
192,all,2015/12/03,all_day
193,all,2015/12/04,all_day
194,all,2015/12/05,all_day
195,all,2015/12/06,all_day
196,all,2015/12/07,all_day
197,guildhall,2015/12/08,some_slots
198,londonrdaurn,2015/12/08,some_slots
199,londonrdenc,2015/12/08,some_slots
200,windsorbridge,2015/12/08,some_slots
201,guildhall,2015/12/12,some_slots
202,londonrdaurn,2015/12/12,some_slots
203,londonrdenc,2015/12/12,some_slots
204,guildhall,2015/12/16,some_slots
205,guildhall,2015/12/17,all_day
206,guildhall,2015/12/18,all_day
207,guildhall,2015/12/19,all_day
208,guildhall,2015/12/20,all_day
209,guildhall,2015/12/21,all_day
210,guildhall,2015/12/22,all_day
211,guildhall,2015/12/23,all_day
212,guildhall,2015/12/24,all_day
213,guildhall,2015/12/25,all_day
214,guildhall,2015/12/26,all_day
215,guildhall,2015/12/27,some_slots
216,londonrdenc,2015/12/30,some_slots
217,guildhall,2015/12/31,some_slots
218,londonrdaurn,2015/12/31,some_slots
219,londonrdenc,2015/12/31,all_day
220,guildhall,2016/01/01,all_day
221,londonrdaurn,2016/01/01,all_day
222,londonrdenc,2016/01/01,all_day
223,guildhall,2016/01/02,some_slots
224,londonrdaurn,2016/01/02,some_slots
225,londonrdenc,2016/01/02,some_slots
226,guildhall,2016/01/07,some_slots
227,guildhall,2016/01/08,all_day
228,londonrdaurn,2016/01/08,some_slots
229,londonrdenc,2016/01/08,some_slots
230,guildhall,2016/01/09,all_day
231,londonrdaurn,2016/01/09,some_slots
232,londonrdenc,2016/01/09,some_slots
233,guildhall,2016/01/10,all_day
234,guildhall,2016/01/11,all_day
235,guildhall,2016/01/12,some_slots
236,guildhall,2016/01/14,some_slots
237,guildhall,2016/01/15,all_day
238,guildhall,2016/01/16,some_slots
239,londonrdaurn,2016/01/16,some_slots
240,londonrdenc,2016/01/16,some_slots
241,guildhall,2016/01/22,some_slots
242,londonrdaurn,2016/01/22,some_slots
